date,crop,price_nominal,price_real
2019-07-01,Barley,1101.0,1169.907554988843
2019-07-01,Maize (corn),1099.0,1255.4260909298605
2019-07-01,Wheat,1305.0,1520.80177135532
2019-08-01,Barley,1125.0,1195.4096270321966
2019-08-01,Maize (corn),1113.0,1271.418779986292
2019-08-01,Wheat,1329.0,1548.7705395641533
2019-09-01,Barley,1123.0,1193.2844543619171
2019-09-01,Maize (corn),1123.0,1282.8421293123142
2019-09-01,Wheat,1304.0,1519.636406013285
2019-10-01,Barley,1132.0,1202.8477313781746
2019-10-01,Maize (corn),1100.0,1256.5684258624628
2019-10-01,Wheat,1299.0,1513.8095793031114
2019-11-01,Barley,1139.0,1210.2858357241528
2019-11-01,Maize (corn),1090.0,1245.1450765364405
2019-11-01,Wheat,1295.0,1509.1481179349726
2019-12-01,Barley,1171.0,1244.288598448624
2019-12-01,Maize (corn),1109.0,1266.849440255883
2019-12-01,Wheat,1309.0,1525.4632327234588
2020-01-01,Barley,1202.3,1277.5475507384976
2020-01-01,Maize (corn),1081.5,1235.4352296093214
2020-01-01,Wheat,1326.8,1546.206735811677
2020-02-01,Barley,1204.9,1271.6622691292878
2020-02-01,Maize (corn),1111.6,1244.514106583072
2020-02-01,Wheat,1337.0,1547.2746209929408
2020-03-01,Barley,1209.3,1220.0363196125907
2020-03-01,Maize (corn),1134.8,1234.4174915696724
2020-03-01,Wheat,1345.7,1542.7031984409034
2020-04-01,Barley,1219.4,1234.2105263157896
2020-04-01,Maize (corn),1153.0,1228.163613123136
2020-04-01,Wheat,1367.7,1557.0355191256829
2020-05-01,Barley,1205.9,1240.1275195392843
2020-05-01,Maize (corn),1174.4,1221.8060757386602
2020-05-01,Wheat,1470.8,1494.5635606137587
2020-06-01,Barley,1239.9,1263.141809290954
2020-06-01,Maize (corn),1163.7,1229.866835764109
2020-06-01,Wheat,1475.0,1466.6401511385106
2020-07-01,Barley,1264.4,1267.9502607300442
2020-07-01,Maize (corn),1174.3,1224.5046923879038
2020-07-01,Wheat,1515.9,1456.1959654178675
2020-08-01,Barley,1288.1,1318.9637517919311
2020-08-01,Maize (corn),1224.9,1198.7668819729888
2020-08-01,Wheat,1554.0,1467.4220963172804
2020-09-01,Barley,1305.6,1328.4493284493283
2020-09-01,Maize (corn),1243.1,1206.6589011842361
2020-09-01,Wheat,1583.1,1479.6709972894662
2020-10-01,Barley,1349.7,1288.2504533740575
2020-10-01,Maize (corn),1315.7,1196.8525425270625
2020-10-01,Wheat,1643.3,1492.552225249773
2020-11-01,Barley,1409.8,1313.5190533867512
2020-11-01,Maize (corn),1353.4,1136.546859254283
2020-11-01,Wheat,1696.7,1496.8681076312307
2020-12-01,Barley,1440.4,1308.7406868980556
2020-12-01,Maize (corn),1381.8,1186.3999313127842
2020-12-01,Wheat,1704.6,1504.766949152542
2021-01-01,Barley,1461.5,1223.0125523012553
2021-01-01,Maize (corn),1395.1,1148.4194929206453
2021-01-01,Wheat,1711.6,1504.5710267229254
2021-02-01,Barley,1496.6,1225.9174311926606
2021-02-01,Maize (corn),1404.8,1150.0613999181332
2021-02-01,Wheat,1724.6,1500.043489605984
2021-03-01,Barley,1507.2,1226.762168321667
2021-03-01,Maize (corn),1413.3,1193.9680662329981
2021-03-01,Wheat,1724.2,1502.0472166565032
2021-04-01,Barley,1565.7,1224.5424683247302
2021-04-01,Maize (corn),1517.7,1116.8592243726546
2021-04-01,Wheat,1726.6,1512.9688047669117
2021-05-01,Barley,1664.7,1178.6321155480034
2021-05-01,Maize (corn),1627.5,1031.1727808401445
2021-05-01,Wheat,1754.7,1474.1661765941358
2021-06-01,Barley,1879.0,1082.8722913785155
2021-06-01,Maize (corn),1700.6,1023.6561728766628
2021-06-01,Wheat,1975.6,1382.11837134462
2021-07-01,Barley,1955.9,1070.1428024292827
2021-07-01,Maize (corn),1690.6,971.2184753260182
2021-07-01,Wheat,2016.4,1344.625233395572
2021-08-01,Barley,2047.5,1096.7379077615299
2021-08-01,Maize (corn),1708.2,964.5398080180689
2021-08-01,Wheat,2034.7,1357.4621389018616
2021-09-01,Barley,2048.8,1091.238348868176
2021-09-01,Maize (corn),1757.4,941.3466173871124
2021-09-01,Wheat,2108.0,1377.417668583377
2021-10-01,Barley,2099.2,1108.1666050783929
2021-10-01,Maize (corn),1965.0,992.4743673922925
2021-10-01,Wheat,2239.1,1404.0005016302987
2021-11-01,Barley,2238.5,1072.5922376617154
2021-11-01,Maize (corn),2072.5,952.435661764706
2021-11-01,Wheat,2444.4,1391.472647577845
2021-12-01,Barley,2627.9,1069.0777429722143
2021-12-01,Maize (corn),2201.2,890.6332186931013
2021-12-01,Wheat,3040.9,1535.6529643470358
2022-01-01,Barley,2900.8,1131.1366738155587
2022-01-01,Maize (corn),2300.5,922.9318783599455
2022-01-01,Wheat,3016.2,1533.0893565111314
2022-02-01,Barley,3022.6,1147.4015867592907
2022-02-01,Maize (corn),2946.6,1062.297209604153
2022-02-01,Wheat,3564.9,1387.7686079103084
2022-03-01,Barley,3445.6,1166.4184157075154
2022-03-01,Maize (corn),3547.6,1099.485526560466
2022-03-01,Wheat,3768.1,1384.8217567070928
2022-04-01,Barley,3919.9,1147.4781183220632
2022-04-01,Maize (corn),3984.1,1133.1664723114993
2022-04-01,Wheat,4280.4,1492.2604936549992
2022-05-01,Barley,4579.9,1154.2377580080142
2022-05-01,Maize (corn),4951.4,1192.6773455377574
2022-05-01,Wheat,4556.2,1539.2567567567567
2022-06-01,Barley,5480.1,1217.1238200999446
2022-06-01,Maize (corn),5491.9,1173.7587894590608
2022-06-01,Wheat,6105.7,1522.6184538653367
2022-07-01,Barley,5743.0,1248.6411271035352
2022-07-01,Maize (corn),5159.1,1153.8255093596943
2022-07-01,Wheat,6828.8,1587.4654206476507
2022-08-01,Barley,5929.7,1237.6489741395503
2022-08-01,Maize (corn),5272.3,1207.8856331187428
2022-08-01,Wheat,6811.5,1590.8772421524664
2022-09-01,Barley,5843.5,1278.3295414770737
2022-09-01,Maize (corn),5178.7,1213.4354936969867
2022-09-01,Wheat,6490.9,1561.3258605344813
2022-10-01,Barley,5896.0,1273.9018646155175
